OT,Lateral Tool Transfer,None,None,None,None,None,None
OT,Loss of Availability,None,None,None,None,None,None
OT,Loss of Control,None,None,None,None,None,None
OT,Loss of Productivity and Revenue,None,None,None,None,None,None
OT,Loss of Protection,None,None,None,None,None,None
OT,Loss of Safety,None,None,None,None,None,None
OT,Loss of View,None,None,None,None,None,None
OT,Manipulate I/O Image,None,None,None,None,None,None
OT,Manipulation of Control,None,None,None,None,None,None
OT,Manipulation of View,None,None,None,None,None,None
OT,Masquerading,None,None,None,None,None,None
OT,Modify Alarm Settings,None,None,None,None,None,None
OT,Modify Controller Tasking,None,None,None,None,None,None
OT,Modify Parameter,None,None,None,None,None,None
OT,Modify Program,None,None,None,None,None,None
OT,Module Firmware,None,None,None,None,None,None
OT,Monitor Process State,None,None,None,None,None,None
OT,Native API,None,None,None,None,None,None
OT,Network Connection Enumeration,None,None,None,None,None,None
OT,Network Sniffing,None,None,None,None,None,None
OT,Point & Tag Identification,None,None,None,None,None,None
OT,Program Download,None,None,None,None,None,None
OT,Program Upload,None,None,None,None,None,None
OT,Project File Infection,None,None,None,None,None,None
OT,Remote Services,None,None,None,None,None,None
OT,Remote System Discovery,None,None,None,None,None,None
OT,Remote System Information Discovery,None,None,None,None,None,None
OT,Replication Through Removable Media,None,None,None,None,None,None
OT,Rogue Master,None,None,None,None,None,None
OT,Rootkit,None,None,None,None,None,None
OT,Screen Capture,None,None,None,None,None,None
OT,Scripting,None,None,None,None,None,None
OT,Service Stop,None,None,None,None,None,None
OT,Spearphishing Attachment,None,None,None,None,None,None
OT,Spoof Reporting Message,None,None,None,None,None,None
OT,Standard Application Layer Protocol,None,None,None,None,None,None
OT,Supply Chain Compromise,None,None,None,None,None,None
OT,System Firmware,None,None,None,None,None,None
OT,Theft of Operational Information,None,None,None,None,None,None
OT,Transient Cyber Asset,None,None,None,None,None,None
OT,Unauthorized Command Message,None,None,None,None,None,None
OT,User Execution,None,None,None,None,None,None
OT,Valid Accounts,None,None,None,None,None,None
OT,Wireless Compromise,None,None,None,None,None,None
OT,Wireless Sniffing,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
IT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
OT,Normal,None,None,None,None,None,None
